,Unnamed: 0,Clean_Headlines
0,0," 'Israeli soldiers and Palestinian former detainees say troops have regularly forced captured Gazans to carry out life-threatening tasks, including inside Hamas tunnels.', 'web_url'"
1,1," 'The escalation of violence between Israel and Iran-backed proxies across the Middle East threatened to bring the combatants closer to an all-out regional war.', 'web_url'"
2,2," 'Iran says Israel wants to trap it into a direct conflict by bombing Hezbollah, even as a new Iranian president tries outreach to the West.', 'web_url'"
3,3," 'In Gaza, Lebanon and Iran, Israel has shown it’s capable of extraordinary acts of espionage, but is struggling to define long-term goals, according to Israeli analysts and public figures.', 'web_url'"
4,4," 'The Lebanese militant group captured an advanced Israeli anti-tank missile in the 2006 war, and its ally, Iran, reverse-engineered it, Israeli officials say.', 'web_url'"
5,5," 'The tech giant, which has defended the deal to employees who oppose supplying Israel’s military with technology, feared the project might damage its reputation.', 'web_url'"
6,6," 'Both sides have accused each other of violating the deal; Hezbollah fired into Israel for the first time since the truce took effect, and Israel responded with airstrikes.', 'web_url'"
7,7," 'The country is home to thousands of years’ worth of antiquities. Some have already been damaged or destroyed in the war, alarming the conservationists trying to protect them.', 'web_url'"
8,8," 'As the truce appeared to largely hold, a deal appeared far away in Gaza, where an Israeli strike killed dozens, according to a rescue group.', 'web_url'"
9,9," 'President Biden said the 60-day truce, which the United States helped broker, would take effect early Wednesday, and was intended to become permanent, ending Lebanon’s deadliest war in decades.', 'web_url'"
10,10," 'The comments by Moshe Yaalon were swiftly denied and condemned by allies of Prime Minister Benjamin Netanyahu of Israel, who said that they would hurt the country and help its enemies.', 'web_url'"
11,11," 'The Israeli authorities called the killing of Rabbi Zvi Kogan an act of terrorism. The Emirati government said it had arrested three people in connection with the murder.', 'web_url'"
12,12," 'In recent months, soldiers have demolished more than 600 buildings to create a buffer area and expanded a network of bases, a New York Times analysis of satellite imagery and video footage shows.', 'web_url'"
13,13," 'The Lebanese Army is tasked with ensuring that Hezbollah abides by the cease-fire. It has failed at that task before.', 'web_url'"
14,14," 'Some violations of the truce, and some amount of violence, are to be expected, analysts say, and do not necessarily mean the deal will collapse and war will resume anytime soon.', 'web_url'"
15,15," 'Israel said it had targeted militants headed to a rocket facility, but neither Israel nor Hezbollah seemed keen to immediately return to full-scale fighting.', 'web_url'"
16,16," 'The cease-fire appeared to largely be holding, but it was unclear when hundreds of thousands of Lebanese and tens of thousands of Israelis could return to their homes near the border.', 'web_url'"
17,17," 'Ramez Hassan Boustany checked on his home in the southern suburbs of Beirut following the cease-fire agreement between Israel and Hezbollah. In northern Israel, Amichay Bitton surveyed the damage on his parents’ property.', 'web_url'"
18,18," 'Under the agreement, Israel will gradually withdraw its forces from Lebanon over the next 60 days, and Hezbollah will not entrench itself near the Israeli border.', 'web_url'"
19,19," 'Israel hit buildings in the Dahiya area south of Beirut, Lebanon, as it continued a heavy exchange of fire with Hezbollah.', 'web_url'"
20,20," 'An investigation into an Israeli tactic in Gaza, and what it reveals about the nature of the war there.', 'web_url'"
21,21," 'President Biden praised the truce, which would stop the fighting between Israel and the Lebanese armed group Hezbollah.', 'web_url'"
22,22," 'Hezbollah’s attack came after Israel’s deadly strike on Beirut on Saturday. It was one of the largest mounted by the militant group against Israel since it started firing on the country last year in solidarity with Hamas.', 'web_url'"
23,23," 'As negotiators inch toward a cease-fire deal, the conflict between Israel and Hezbollah in Lebanon has intensified.', 'web_url'"
24,24," 'While there were limited signs of life in the area, most residents were hesitant to head back without greater certainty that the cease-fire with Hezbollah would hold.', 'web_url'"
25,25," 'The Israeli military said it killed the worker in a strike in Gaza on Saturday. “To the best of our knowledge, no WCK team members are affiliated with Hamas,” a spokeswoman for the aid group said.', 'web_url'"
